ID,Album,Enlace,Imagen,Plataforma,Status,Mood,Type
121,DJ Troll @ Zona 3 - Satixfaction - Málaga,https://www.youtube.com/watch?v=VSzxviDuUrI,Screenshot_2025-01-21_at_08.14.55.png,Youtube,Ready,Chill,Mix
122,"DJ Dah-Ishi @ Music Lounge Strut - Nakano , Tokyo",https://www.youtube.com/watch?v=cKc5mIaKBLM,Screenshot_2025-01-21_at_08.40.41.png,Youtube,Ready,Chill,Mix
123,Vangelis - Direct,https://www.youtube.com/watch?v=JNTaFnzFABU,https://m.media-amazon.com/images/I/71h4aV+RTTL._SL1050_.jpg,Youtube,Ready,"Chill, Electronic",Album
125,Cut Chemist - The Audience's Listening (U.S. Version),https://youtube.com/playlist?list=OLAK5uy_kh8gzhqX7TMVBA8Pz9N6cliWhLGKxjty0&si=-jhD73X0_DvDzewl,https://a2.cdn.hhv.de/items/images/generated/970x970/00076/76726/1-cut-chemist-the-audience-s-listening.webp,Youtube,Ready,Chill,Album
126,DJ Shadow - Endtroducing,https://www.youtube.com/watch?v=EEV2EqVe9vU,https://m.media-amazon.com/images/I/71wdyiHw-iL._SL1087_.jpg,Youtube,Ready,Chill,Album
127,Oneohtrix Point Never - Again,https://oneohtrixpointnever.bandcamp.com/album/again,https://f4.bcbits.com/img/a4277554650_10.jpg,Bandcamp,Ready,"Chill, Electronic",Album
128,Glue Kids - Fuego Amigo,https://galletarecords.bandcamp.com/album/glue-kids-fuego-amigo,https://f4.bcbits.com/img/a1808910407_10.jpg,Bandcamp,Ready,Chill,Album
129,"Godspeed You! Black Emperor - NO TITLE AS OF 13 FEBRUARY 2024 28,340 DEAD",https://godspeedyoublackemperor.bandcamp.com/album/no-title-as-of-13-february-2024-28340-dead,https://f4.bcbits.com/img/a2589762612_10.jpg,Bandcamp,Ready,Chill,Album
130,Ghost Dubs - Damaged,https://ghostdubs.bandcamp.com/album/damaged,https://f4.bcbits.com/img/a3113517095_10.jpg,Bandcamp,Ready,Chill,Album
131,Kruder & Dorfmeister - G-Stoned,https://www.youtube.com/watch?v=Q9gH0QyqhE0,https://m.media-amazon.com/images/I/71+0BpOlUXL._SL1184_.jpg,Youtube,Ready,Chill,Album
132,STLNDRMS -  Good Food Vol 1,https://www.youtube.com/watch?v=5mb2XfidYqY,Screenshot_2025-02-20_at_19.54.30.png,Youtube,Ready,Chill,Mix
133,Apron ft. Froby Juan - NTS Show - 19th Feb 2025,https://soundcloud.com/stevenjulien/nts-apron-show-w-special-guest-froby-juan-19th-feb-2025,Screenshot_2025-02-26_at_10.11.59.png,SoundCloud,Ready,Chill,radio show
134,MAJ - System Olympia - Night Riding in a Vintage Cabriolet,https://www.youtube.com/watch?v=_WNSsGjDBEo,https://i.ytimg.com/vi/_WNSsGjDBEo/sddefault.jpg,Youtube,Ready,Chill,Mix
135,Odesza - Severance — Music To Refine To,https://www.youtube.com/watch?v=JRnDYB28bL8,https://i.ytimg.com/vi/JRnDYB28bL8/maxresdefault.jpg,Youtube,Ready,"Chill, Electronic",Mix
136,Cerrot - Suelta @ Canino FM,https://www.youtube.com/watch?v=DhDHvk4Uzz4,Screenshot_2025-03-04_at_18.54.08.png,Youtube,Ready,Chill,Mix
